group_id,duplicate_count,images
Group_1,2,image83.png; image84.png
Group_2,2,image11.png; image12.png
Group_3,2,image140.png; image141.png
Group_4,2,image19.png; image20.png
Group_5,2,image1.png; image2.png
Group_6,3,image131.png; image132.png; image133.png
Group_7,2,image138.png; image139.png
Group_8,3,image113.png; image114.png; image35.png
Group_9,2,image92.png; image93.png
Group_10,4,image96.png; image97.png; image98.png; image99.png
Group_11,2,image15.png; image16.png
Group_12,2,image85.png; image86.png
Group_13,2,image81.png; image82.png
Group_14,2,image7.png; image8.png
Group_15,4,image142.png; image143.png; image144.png; image145.png
Group_16,2,image119.png; image120.png
Group_17,2,image125.png; image126.png
Group_18,2,image88.png; image89.png
Group_19,2,image136.png; image137.png
Group_20,2,image13.png; image14.png
Group_21,4,image100.png; image101.png; image102.png; image103.png
Group_22,2,image134.png; image135.png
Group_23,3,image104.png; image105.png; image106.png
Group_24,2,image129.png; image130.png
Group_25,2,image109.png; image110.png
Group_26,2,image5.png; image6.png
Group_27,2,image123.png; image124.png
Group_28,3,image146.png; image147.png; image148.png
Group_29,2,image117.png; image118.png
Group_30,2,image149.png; image150.png
Group_31,2,image111.png; image112.png
Group_32,2,image17.png; image18.png
Group_33,2,image90.png; image91.png
Group_34,2,image10.png; image9.png
Group_35,2,image107.png; image108.png
Group_36,2,image115.png; image116.png
Group_37,2,image94.png; image95.png
Group_38,2,image21.png; image22.png
Group_39,2,image3.png; image4.png
Group_40,2,image121.png; image122.png
Group_41,2,image127.png; image128.png
